"Tag","Tier","academia","admiralty","army_reserves","artillery","atmospheric_engine","banking","central_archives","central_banking","centralization","colonization","corporate_charters","cotton_gin","currency_standards","democracy","dialectics","distillation","drydocks","egalitarianism","empiricism","enclosure","fractional_distillation","general_staff","gunsmithing","human_rights","intensive_agriculture","international_relations","international_trade","joint_stock_companies","labor_movement","lathe","law_enforcement","line_infantry","mandatory_service","manufacturies","mass_communication","mechanical_tools","medical_degrees","military_drill","napoleonic_warfare","navigation","percussion_cap","power_of_the_purse","prospecting","railways","rationalism","romanticism","screw_frigate","sericulture","shaft_mining","standing_army","steelworking","stock_exchange","tech_bureaucracy","urban_planning","urbanization"
"ECU","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"EGY","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","1","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"EWE","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EZO","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"FIN","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FJI","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FNG","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FRA","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0"
"FRM","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FTJ","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"FTR","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"FZN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"GAR","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"GBR","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0"
"GGO","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GJM","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"GLD","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"GNI","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"GRE","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"GRW","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"GWA","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"GZA","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"HAI","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"HAM","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HAN","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HAR","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"HAU","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"HAW","4","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"HBC","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HDJ","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"HDY","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"HEK","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HER","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"HES","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HHE","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HLA","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HMB","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HOH","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HOL","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HRO","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HUN","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HYD","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"IBO","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IDA","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"IND","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"ION","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"IQU","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"IRC","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ISQ","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"JAB","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JAI","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JAP","4","1","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1"
"JAS","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JEY","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JHN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JLF","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JMB","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JOD","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JOH","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"JUN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAB","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAF","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAL","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAS","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAT","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KAU","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
"KBA","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KBD","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KBU","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KFA","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"KHI","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KHP","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KKI","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KKY","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KLN","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KLO","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KNC","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KNG","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KNK","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KNO","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KOK","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KON","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"KOR","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1"
"KOT","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KRA","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KRG","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KRI","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KRT","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"KRU","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KSN","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KTI","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KTU","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KUN","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KUT","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KYN","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KZH","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"KZM","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"LAD","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"LAH","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"LAN","4","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"LBA","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LGA","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LIB","3","1","1","1","1","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"LIP","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LKT","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"LND","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LNG","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"LRR","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"LUA","4","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","0","1"
"LUB","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LUC","3","1","1","1","1","0","1","0","0","1","1","0","1","1","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","1","1","0","1","1","1"
"LUO","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"LUX","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LZO","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
