state_region,total_pop,n_owners,owner_tags
STATE_QUEENSLAND,97375,9,ARR|GRW|KNC|MRA|NSW|PAA|PMA|WDJ|WKB
STATE_DELAWARE,96524,1,USA
STATE_ARAUCANIA,95404,3,CHL|SLK|THL
STATE_PIAUI,94932,1,BRZ
STATE_BOTSWANA,94560,3,LZO|SAN|TSW
STATE_ABU_DHABI,94250,3,ABU|BHN|OMA
STATE_EAST_AEGEAN_ISLANDS,93984,1,TUR
STATE_TEXAS,93264,3,COM|MEX|TEX
STATE_NORTH_ISLAND,93004,3,NSW|NTO|UNT
STATE_FLORIDA,92996,2,SML|USA
STATE_PASTAZA,92900,2,ECU|NPU
STATE_ARKANSAS,92620,1,USA
STATE_VANUATU,92000,1,VNT
STATE_BRITISH_COLUMBIA,90596,3,ATB|HBC|ORG
STATE_NEWFOUNDLAND,87976,1,GBR
STATE_RIO_GRANDE_DO_NORTE,87948,1,BRZ
STATE_COSTA_RICA,83992,1,UCA
STATE_AMUR,82613,1,CHI
STATE_FIJI,82000,1,FJI
STATE_WEST_AEGEAN_ISLANDS,80404,1,GRE
STATE_OKLAHOMA,80000,2,COM|SEQ
STATE_TUCUMAN,79008,1,ARG
STATE_MANITOBA,78848,2,HBC|IRC
STATE_CAPE_VERDE,78819,1,POR
STATE_AMAZONAS,77255,3,BOL|CLM|PRA
STATE_SOUTH_ISLAND,76428,2,NTO|NTU
STATE_OUTER_MANCHURIA,76000,1,CHI
STATE_GOIAS,73918,1,BRZ
STATE_JUJUY,72404,2,ARG|BOL
STATE_NEW_MEXICO,67796,4,APC|COM|MEX|NVJ
STATE_ALBERTA,67603,3,BLF|HBC|IRC
STATE_PATAGONIA,64200,2,PAT|THL
STATE_LIBYAN_DESERT,64000,4,AJJ|FZN|TBI|ZWY
STATE_NAMAQUALAND,64000,2,NAM|SAN
STATE_IDAHO,64000,3,BNN|NZP|ORG
STATE_CALIFORNIA,63996,1,MEX
STATE_ICELAND,63720,1,DEN
STATE_MONTANA,63600,5,ABS|BLF|LKT|SLS|USA
STATE_INNER_MAURITANIA,63037,3,ADR|OUA|RGB
STATE_HOKKAIDO,62435,2,EZO|JAP
STATE_SANTA_CATARINA,61753,1,BRZ
STATE_SAHARA,61575,5,CMB|MZB|RGB|TEK|TUA
STATE_WEST_SAHARA,60136,3,DLM|RGB|TEK
STATE_SEMNAN,59311,1,PER
STATE_ALASKA,58028,2,ALK|ATB
STATE_KANAK,56004,1,KNK
STATE_SASKATCHEWAN,55200,2,HBC|IRC
STATE_SOLOMON_ISLANDS,52400,1,BLA
STATE_TARAPACA,52000,1,SPU
STATE_ARIZONA,49004,3,APC|MEX|NVJ
STATE_TUVA,49000,1,CHI
STATE_BOUGAINVILLE,48000,1,HLA
STATE_CHACO,46904,2,ARG|GNI
STATE_ALXA,44788,1,CHI
STATE_RIO_NEGRO,43996,2,ARG|PAT
STATE_IOWA,43992,1,USA
STATE_WYOMING,42100,6,ABS|ARP|BNN|LKT|SLS|USA
STATE_KOLYMA,41821,1,RUS
STATE_TASMANIA,41400,1,TAS
STATE_NORTH_DAKOTA,40000,2,LKT|USA
STATE_TRANSJORDAN,40000,1,EGY
STATE_TONGA,40000,1,TNG
STATE_SOUTH_DAKOTA,38000,2,LKT|USA
STATE_MINNESOTA,38000,2,LKT|USA
STATE_PARANA,36566,1,BRZ
STATE_EGYPTIAN_DESERT,36050,1,EGY
STATE_WISCONSIN,36004,1,USA
STATE_UPPER_YENISEYSK,35190,1,RUS
STATE_WEST_MICRONESIA,33218,2,MCR|PHI
STATE_GOTLAND,33208,1,SWE
STATE_NENETSIA,31074,1,RUS
STATE_ALTAI,31000,1,CHI
STATE_NORTHERN_BALUCHISTAN,30520,1,KAN
STATE_NEVADA,28000,2,BNN|MEX
STATE_BERMUDA,27200,1,GBR
STATE_ALAND,27000,1,FIN
STATE_OREGON,24848,1,ORG
STATE_EAST_MICRONESIA,24224,1,MCR
STATE_KANSAS,24000,3,COM|PWN|USA
STATE_BAJA_CALIFORNIA,22864,1,MEX
STATE_COLORADO,22600,4,ARP|MEX|USA|UTE
STATE_MATRUH,22050,1,EGY
STATE_WASHINGTON,22000,1,ORG
STATE_SINAI,20616,1,EGY
STATE_NEBRASKA,20000,3,LKT|PWN|USA
STATE_UTAH,20000,3,MEX|NVJ|UTE
STATE_SAKHALIN,18149,5,AIN|ALK|EZO|SKH|ULT
STATE_ACRE,16350,1,BOL
STATE_NORTHWEST_TERRITORIES,16000,1,HBC
STATE_SOUTH_ATLANTIC_ISLANDS,14540,1,GBR
STATE_CHUKOTKA,13023,1,RUS
STATE_SURGUT,12058,1,RUS
STATE_ALTO_PARAGUAY,12030,1,GNI
STATE_YUKON_TERRITORY,12000,2,ATB|HBC
STATE_NUNAVUT,11980,1,HBC
STATE_OKHOTSK,11870,1,RUS
STATE_GREENLAND,11174,1,DEN
STATE_KOLA,6274,1,RUS
STATE_KAMCHATKA,6000,1,RUS
STATE_OB,5917,1,RUS
STATE_NAURU,1251,1,NRU
